Sample,SCFA_A1_HiF,SCFA_A2_HiF,SCFA_B1_HiF,SCFA_B2_HiF,SCFA_C1_HiF,SCFA_C2_HiF,SCFA_A1_LoF,SCFA_A2_LoF,SCFA_B1_LoF,SCFA_B2_LoF,SCFA_C1_LoF,SCFA_C2_LoF
pyruvic acid,3723.1,2963.3,24680,30435.6,3172.8,1714.3,23642.8,35637,15006,12297.2,31456.8,19618.6
scyllo-inositol,9772.2,7362.2,6665.2,18263.8,12658.2,8469.6,0,4403.2,3547.2,1477.9,2209.9,2649
stearic acid,336929.2,195550.5,477885.8,600328.5,720814.2,403301.5,1707099.4,1031731.7,784672,643408.3,818480.8,623350.5
"stigmasta-3,5-diene  ",4355.2,4565,2453.5,3055.7,764.3,2128.8,193.6,0,2565.9,127.8,332.9,0
stigmastanol,274.3,216.2,386.1,10791.1,8209.6,3632,8345.6,11703.6,41308.4,105296.3,23894.9,24172.9
Stigmasterol,9417.8,19507.3,18536.9,21579.4,11048.1,20334.1,24621.1,32721.4,20028.1,9980.1,18108.4,29254.2
sucrose,13383.3,21235.1,20851.6,3237.3,72501.2,21885.9,5811.2,8952.2,10580.4,19059.2,5040.6,5042.9
tartaric acid,397,546.4,272.4,169.2,1044.3,1022,3160.6,28404.5,18180.2,12754.1,11594.2,6295.2
taurine,80236.5,118077.6,55195.2,31483.2,9525.8,10715.9,29828.5,4868.1,135.5,18821.7,23630.3,104413.4
tetracosanol,11102,10264.2,17813.5,12297.4,10825.8,14423.9,7476.6,8428.1,6406.7,10756.5,8804.2,12460
thymine,32125.4,23482.1,24063.8,30415.4,15388.5,26729.2,50168.5,40943.2,29638,38429,52965.4,53637.2
trehalose,16659.2,15467.5,1604.2,2172.6,27891.2,29316.6,1122.8,7997.7,3010.8,18978.2,11124.3,2012.4
tricosanoic acid,10222,10098.9,26499,30420.4,17464.1,21569.4,13552,22302.2,15934.1,16568.3,11187.3,11456.9
tricosanol,9712.1,7519.5,12233.5,7958.2,6476.2,9631.6,6681,6490,4853,13236,7143.8,10611.2
uracil,38304.7,24710.6,30816.3,56047.1,26570.8,41238.6,50150.1,44048.7,39449.8,51213.7,64579.4,48554.8
