"Metabolite"	"coefficient"	"p_value"	"bh"	"Class"	"KEGGid"
"palmitic acid"	1.1575541087835	0.0140104181037679	0.0290985606770565	"Lipid"	"C00249"
"methyl oleate"	1.40211847207797	0.014524325873606	0.0297088483778305	"Lipid"	""
"L-ornithine"	2.02371507329498	0.0156153750176001	0.0314638153339704	"Amino acid"	"C00077"
"methyl eicosanoate"	0.92879935568488	0.0162864604389961	0.0323334141068305	"Lipid"	""
"coprostanol"	2.82977320009538	0.0248187915533448	0.0479403768359205	"Sterol"	""
"lauric acid"	1.14389553807503	0.024857973174181	0.0479403768359205	"Lipid"	"C02679"
"stearic acid"	1.06123276461575	0.0264313803869764	0.0496280029606033	"Lipid"	"C01530"
"tetracosanol"	-0.505422750757681	0.0264682682456551	0.0496280029606033	"Lipid"	""
"beta-muricholic acid"	-1.11104349171676	0.027452865603331	0.0507689980335574	"Sterol"	"C17727"
"methyl eicosadienoate"	0.968447429454237	0.0289785331729408	0.0528662429506352	"Lipid"	""
"ethanolamine"	0.70426871560102	0.030985086276546	0.0557731552977828	"Misc"	"C00189"
"alpha-muricholic acid"	0.616620477346822	0.0327812674877289	0.0582298830374132	"Sterol"	"C17647"
"beta-sitosterol"	0.717296766228063	0.0365715384639351	0.064118931073133	"Sterol"	"C01753"
"pyruvic acid"	1.84262751123596	0.037907130362159	0.0648683135917259	"TCA"	"C00022"
"pentacosanoic acid"	-0.714972083601239	0.0379599761018248	0.0648683135917259	"Lipid"	""
"nonadecanoic acid"	0.956102758350617	0.0426617784110225	0.0719917510686005	"Lipid"	"C16535"
"methyl linocerate"	0.634910679322893	0.0460768173342765	0.0767946955571274	"Lipid"	""
"methyl cholate"	-1.60587166272591	0.0555422082750097	0.0899472336624138	"Sterol"	"C00695"
"D-gluconic acid"	0.759390154200321	0.0556075163712057	0.0899472336624138	"Carbohydrate"	"C00257"
"uracil"	0.4942943156608	0.0559671676121686	0.0899472336624138	"Misc"	"C00106"
"arachidic acid"	0.775738765404848	0.0593342157676947	0.0942366956310445	"Lipid"	"C06425"
"palmitoleic acid"	0.791201801800672	0.0641884028650678	0.100760864962606	"Lipid"	"C08362"
"beta-glycerolphosphate"	2.07159541528036	0.0713866362959022	0.110772366666055	"Misc"	"C02979"
"1,3-dihydroxyacetone"	0.582557005347396	0.0916253919294302	0.14056168080083	"Misc"	"C00184"
"alpha tocophereol"	0.257186231426152	0.0948800371117247	0.143919157416661	"Misc"	"C02477"
"methyl arachidonate"	1.06687559365371	0.09807474210764	0.14711211316146	"Lipid"	""
"fumaric acid"	2.41642739889661	0.100135044087877	0.148551988482016	"TCA"	"C00122"
"methyl linolenate"	1.14718371464378	0.102066036748423	0.149770814793881	"Lipid"	""
"maltose"	0.900899922888198	0.104896426772595	0.15226900660538	"Carbohydrate"	"C00208"
"2-hydroxyglutaric acid"	-0.819943925363813	0.109614237646925	0.157424703003563	"Misc"	"C02630"
